SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
100002,1,Cash loans,M,N,Y,0,202500.0,406597.5,24700.5,351000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.018801,-9461,-637,-3648.0,-2120,,1,1,0,1,1,0,Laborers,1.0
100031,1,Cash loans,F,N,Y,0,112500.0,979992.0,27076.5,702000.0,Unaccompanied,Working,Secondary / secondary special,Widow,House / apartment,0.018029,-18724,-2628,-6573.0,-1827,,1,1,0,1,0,0,Cooking staff,1.0
100047,1,Cash loans,M,N,Y,0,202500.0,1193580.0,35028.0,855000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.025164,-17482,-1262,-1182.0,-1029,,1,1,0,1,0,0,Laborers,2.0
100049,1,Cash loans,F,N,N,0,135000.0,288873.0,16258.5,238500.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.007305,-13384,-3597,-45.0,-4409,,1,1,1,1,1,0,Sales staff,2.0
100096,1,Cash loans,F,N,Y,0,81000.0,252000.0,14593.5,252000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.028663,-24794,365243,-5391.0,-4199,,1,0,0,1,0,0,,2.0
100112,1,Cash loans,M,Y,Y,0,315000.0,953460.0,64107.0,900000.0,Family,Commercial associate,Incomplete higher,Single / not married,With parents,0.030755,-10199,-2015,-4802.0,-1038,2.0,1,1,0,1,0,0,,1.0
100130,1,Cash loans,F,N,Y,1,157500.0,723996.0,30802.5,585000.0,Unaccompanied,Commercial associate,Incomplete higher,Separated,House / apartment,0.0072739999999999,-10526,-267,-387.0,-3190,,1,1,0,1,1,0,Sales staff,2.0
100160,1,Cash loans,M,N,Y,0,292500.0,675000.0,36747.0,675000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.035792,-16667,-200,-5239.0,-114,,1,1,1,1,1,0,Managers,2.0
100181,1,Cash loans,F,N,Y,0,157500.0,245619.0,12667.5,166500.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.022625,-17538,-7676,-774.0,-1082,,1,1,0,1,1,0,Private service staff,1.0
100192,1,Cash loans,F,N,N,0,111915.0,225000.0,21037.5,225000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,With parents,0.018801,-7989,-150,-2570.0,-646,,1,1,1,1,0,0,Core staff,1.0
100209,1,Revolving loans,M,N,Y,3,180000.0,540000.0,27000.0,540000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.02461,-15326,-1038,-782.0,-792,,1,1,0,1,0,0,High skill tech staff,5.0
100214,1,Cash loans,F,N,Y,1,202500.0,436032.0,28516.5,360000.0,Unaccompanied,Commercial associate,Higher education,Civil marriage,House / apartment,0.032561,-10127,-111,-1724.0,-337,,1,1,0,1,1,0,,3.0
100246,1,Cash loans,F,N,Y,0,135000.0,495216.0,26995.5,427500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.008019,-12824,-154,-6764.0,-126,,1,1,0,1,0,0,Laborers,2.0
100273,1,Cash loans,F,N,Y,0,157500.0,1710000.0,66262.5,1710000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.004849,-23127,-9274,-817.0,-4173,,1,1,0,1,0,0,Medicine staff,2.0
100282,1,Revolving loans,F,Y,Y,0,73341.0,135000.0,6750.0,135000.0,Unaccompanied,Commercial associate,Higher education,Single / not married,House / apartment,0.018801,-9157,-146,-2926.0,-1822,11.0,1,1,0,1,0,0,Managers,1.0
100286,1,Cash loans,M,Y,Y,1,121500.0,263686.5,17298.0,238500.0,"Spouse, partner",Working,Secondary / secondary special,Married,House / apartment,0.014464,-17847,-448,-3595.0,-1381,21.0,1,1,0,1,0,0,Drivers,3.0
100295,1,Cash loans,M,Y,N,1,225000.0,1019205.0,31032.0,774000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.072508,-11356,-602,-335.0,-3224,9.0,1,1,0,1,0,0,Laborers,2.0
100300,1,Cash loans,M,N,N,0,63000.0,426645.0,22468.5,324000.0,Other_A,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.018634,-12209,-1572,-6348.0,-4551,,1,1,0,1,1,0,Sales staff,1.0
100301,1,Cash loans,M,N,Y,1,112500.0,571486.5,31131.0,454500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.022625,-8292,-166,-3062.0,-16,,1,1,0,1,0,0,Laborers,3.0
100326,1,Cash loans,M,Y,Y,0,36000.0,284400.0,10849.5,225000.0,Unaccompanied,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,0.018209,-22078,365243,-6748.0,-4542,27.0,1,0,0,1,1,0,,2.0
100336,1,Cash loans,F,Y,Y,0,157500.0,497520.0,28692.0,450000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.02461,-13989,-1350,-8112.0,-4715,5.0,1,1,1,1,1,0,Laborers,1.0
